nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
A.P.R.S. (AUDIT PROTECTION RISQUE SECURITE),,,a contacter,,,,,,,,,,,,securite,,BAYONNE,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497748525,49774852500019,80.10Z,,,,,,,,,,,sirene,
A.P.S.I,,,a contacter,,,,,,,,,,,,securite,,STRASBOURG,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882462591,88246259100018,80.10Z,,,,,,,,,,,sirene,
A.R. SECURITE,,,a contacter,,,,,,,,,,,,securite,,REICHSTETT,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488907106,48890710600055,80.20Z,,,,,,,,,,,sirene,
A.R.G.E.,,,a contacter,,,,,,,,,,,,securite,,QUETIGNY,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442934857,44293485700032,80.20Z,,,,,,,,,,,sirene,
A.S. SECURITE,,,a contacter,,,,,,,,,,,,securite,,RIXHEIM,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910571090,91057109000018,80.10Z,,,,,,,,,,,sirene,
A.S.C. ELECTRONIQUE,,,a contacter,,,,,,,,,,,,securite,,SAINT-ESTEVE,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433788577,43378857700032,80.20Z,,,,,,,,,,,sirene,
A.S.G.C. SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,SAINTE-GENEVIEVE-DES-BOIS,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449548692,44954869200051,80.10Z,,,,,,,,,,,sirene,
A.S.I.G. PROTECTION,,,a contacter,,,,,,,,,,,,securite,,TOULOUSE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811498427,81149842700046,80.10Z,,,,,,,,,,,sirene,
A.S.P.,,,a contacter,,,,,,,,,,,,securite,,NICE,,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821822095,82182209500039,80.10Z,,,,,,,,,,,sirene,
A.S.P.S.I.,,,a contacter,,,,,,,,,,,,securite,,MARSILLY,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809310501,80931050100030,80.10Z,,,,,,,,,,,sirene,
A.T.R.I.O.M.S (ASSISTANCE-TELESURVEILLANCE-RONDE-INTERVENTION-OBSERVATION- MEDIATION-SECURITE),,,a contacter,,,,,,,,,,,,securite,,SAINT-PIERRE,,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512092719,51209271900024,80.10Z,,,,,,,,,,,sirene,
A.V.S.SECURITE,,,a contacter,,,,,,,,,,,,securite,,LIMAY,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501579205,50157920500037,80.10Z,,,,,,,,,,,sirene,
A2B SECURITE,,,a contacter,,,,,,,,,,,,securite,,CHATEAU-GONTIER-SUR-MAYENNE,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852126960,85212696000024,80.10Z,,,,,,,,,,,sirene,
A2SC AGENCE SECURITE SERVICE CONSEILS,,,a contacter,,,,,,,,,,,,securite,,AIGREFEUILLE-SUR-MAINE,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889124384,88912438400021,80.10Z,,,,,,,,,,,sirene,
A3SECURITE,,,a contacter,,,,,,,,,,,,securite,,LATTES,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823234471,82323447100022,80.10Z,,,,,,,,,,,sirene,
AARON PROTECTION SECURITE,,,a contacter,,,,,,,,,,,,securite,,SERRIS,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434691358,43469135800049,80.10Z,,,,,,,,,,,sirene,
AASGARD PROTECTION,,,a contacter,,,,,,,,,,,,securite,,DOUE-EN-ANJOU,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921979837,92197983700017,80.10Z,,,,,,,,,,,sirene,
AB SECURITE,,,a contacter,,,,,,,,,,,,securite,,NIORT,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804070118,80407011800018,80.10Z,,,,,,,,,,,sirene,
AB SECURITE SAS,,,a contacter,,,,,,,,,,,,securite,,CHARMES,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414741843,41474184300109,80.20Z,,,,,,,,,,,sirene,
