nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
A.C.C.R,,,a contacter,,,,,,,,,,,,proprete,,JOUY-LE-MOUTIER,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891209801,89120980100028,81.21Z,,,,,,,,,,,sirene,
A.C.O.,,,a contacter,,,,,,,,,,,,proprete,,LUGRIN,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792398737,79239873700025,81.22Z,,,,,,,,,,,sirene,
A.C.S.,,,a contacter,,,,,,,,,,,,proprete,,BESANCON,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808204341,80820434100016,81.21Z,,,,,,,,,,,sirene,
A.C.S. NETTOYAGE POLYVALENT ECOLOGIQUE,,,a contacter,,,,,,,,,,,,proprete,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824301667,82430166700021,81.21Z,,,,,,,,,,,sirene,
A.D IDEES,,,a contacter,,,,,,,,,,,,proprete,,PINEUILH,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539273748,53927374800027,81.30Z,,,,,,,,,,,sirene,
A.D. NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,LE PUY-EN-VELAY,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528733272,52873327200025,81.21Z,,,,,,,,,,,sirene,
A.D.E.P.,,,a contacter,,,,,,,,,,,,proprete,,REIGNIER-ESERY,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800363046,80036304600023,81.30Z,,,,,,,,,,,sirene,
A.D.G. ENVIRONNEMENT,,,a contacter,,,,,,,,,,,,proprete,,CHAUCHE,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524347960,52434796000022,81.30Z,,,,,,,,,,,sirene,
A.D.N,,,a contacter,,,,,,,,,,,,proprete,,BOISSY-L'AILLERIE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399721430,39972143000060,81.30Z,,,,,,,,,,,sirene,
A.D.S 67 AIR DECONTAMINATION SERVICES,,,a contacter,,,,,,,,,,,,proprete,,TAISSY,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535110340,53511034000044,81.21Z,,,,,,,,,,,sirene,
A.D.S. 14 AIR DECONTAMINATION SERVICES,,,a contacter,,,,,,,,,,,,proprete,,ETAPLES,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537697245,53769724500026,81.21Z,,,,,,,,,,,sirene,
